questionNo,question,Answer
0,Peter has eight apples. Dennis gives Peter three more. How many apples does Peter have in all?,11
1,Ariel was playing basketball. 1 of her shots went in the hoop. 2 of her shots did not go in the hoop. How many shots were there in total?,3
2,Adrianna has 10 pieces of gum to share with her friends. There wasn’t enough gum for all her friends so she went to the store to get 3 more pieces of gum. How many pieces of gum does Adrianna have now?,13
3,Adrianna has 10 pieces of gum to share with her friends. There wasn’t enough gum for all her friends so she went to the store and got 70 pieces of strawberry gum and 10 pieces of bubble gum. How many pieces of gum does Adrianna have now?,90
4,The restaurant has 175 normal chairs and 20 chairs for babies. How many chairs does the restaurant have in total?,195
5,How many cookies did you sell if you sold 320 chocolate cookies and 270 vanilla cookies?,590
6,The hobby store normally sells 10576 trading cards per month. In June the hobby store sold 15498 more trading cards than normal. In total how many trading cards did the hobby store sell in June?,26074
7,Billy had 2 books at home. He went to the library to take out 2 more books. He then bought 1 book. How many books does Billy have now?,5
8,Ashley bought a big bag of candy. The bag had 102 blue candies 100 red candies and 94 green candies. How many candies were there in total?,296
9,There were 3 pizzas in total at the pizza shop. A customer bought 1 pizza. How many pizzas are left?,2
10,Your friend said she had 11 stickers. When you helped her clean her desk she only had a total of 10 stickers. How many stickers are missing?,1
11,Adrianna has 100 pieces of gum to share with her friends. When she went to the park she shared 10 pieces of strawberry gum. When she left the park Adrianna shared another 10 pieces of bubble gum. How many pieces of gum does Adrianna have now?,80
12,Your team scored a total of 123 points. 67 points were scored in the first half. How many were scored in the second half?,56
13,Nathan has a big ant farm. He decided to sell some of his ants. He started with 965 ants. He sold 213. How many ants does he have now?,752
14,The hobby store normally sells 10576 trading cards per month. In July the hobby store sold a total of 20777 trading cards. How many more trading cards did the hobby store sell in July compared with a normal month?,10201
15,Charlene had a pack of 35 pencil crayons. She gave 6 to her friend Theresa. She gave 3 to her friend Mandy. How many pencil crayons does Charlene have left?,9
16,Ashley bought a big bag of candy to share with her friends. In total there were 296 candies. She gave 105 candies to Marissa. She also gave 86 candies to Kayla. How many candies were left?,105
17,Adrianna needs to cut a pan of brownies into pieces. She cuts 6 even columns and 3 even rows into the pan. How many brownies does she have?,18
18,A movie theatre has 25 rows of seats with 20 seats in each row. How many seats are there in total?,500
19,A clothing company has 4 different kinds of sweatshirts. Each year the company makes 60000 of each kind of sweatshirt. How many sweatshirts does the company make each year?,240000
20,If you have 4 pieces of candy split evenly into 2 bags how many pieces of candy are in each bag?,2
21,If you have 80 tickets for the fair and each ride costs 5 tickets how many rides can you go on?,16
22,A bricklayer stacks bricks in 2 rows with 10 bricks in each row. On top of each row there is a stack of 6 bricks. How many bricks are there in total?,120
23,Cayley earns $5 an hour by delivering newspapers. She delivers newspapers 3 days each week for 4 hours at a time. After delivering newspapers for 8 weeks how much money will Cayley earn?,480
24,The school has $20000 to buy new computer equipment. If each piece of equipment costs $50 how many pieces can the school buy in total?,400
25, Melissa buys 2 packs of tennis balls for $12 in total. All together there are 6 tennis balls. How much does 1 pack of tennis balls cost? How much does 1 tennis ball cost?,6 and 2
26,An Italian restaurant receives a shipment of 86 veal cutlets. If it takes 3 cutlets to make a dish how many cutlets will the restaurant have left over after making as many dishes as possible?,2
27,There are 235 books in a library. On Monday 123 books are taken out. On Tuesday 56 books are brought back. How many books are there now?,168
28,There is a group of 10 people who are ordering pizza. If each person gets 2 slices and each pizza has 4 slices how many pizzas should they order?,5
29,Lana has 2 bags with 2 marbles in each bag. Markus has 2 bags with 3 marbles in each bag. How many more marbles does Markus have?,2
30,Lana has 3 bags with the same amount of marbles in them totaling 12 marbles. Markus has 3 bags with the same amount of marbles in them totaling 18 marbles. How many more marbles does Markus have in each bag?,2
31,There are 2 chalkboards in your classroom. If each chalkboard needs 2 pieces of chalk how many pieces do you need in total?,4
32,There are 3 chalkboards in your classroom. Each chalkboard has 2 pieces of chalk. This means there are 6 pieces of chalk in total. If you take 1 piece of chalk away from each chalkboard how many will there be in total?,4
33,What number is 6 tens and 10 ones?,70
34,I have a 7 in the tens place. I have an even number in the ones place. I am lower than 74. What number am I?,72
35,In the hockey game Mitchell scored more points than William but fewer points than Auston. Who scored the most points? Who scored the fewest points?,Auston-William
36,Julia went to 10 houses on her street for Halloween. 5 of the houses gave her a chocolate bar. What fraction of houses on Julia’s street gave her a chocolate bar?,1/2
37,Heather is painting a portrait of her best friend Lisa. To make it easier she divides the portrait into 6 equal parts. What fraction represents each part of the portrait?,1/6
38,Noah walks ⅓ of a kilometre to school each day. He also walks ⅓ of a kilometre to get home after school. How many kilometres does he walk in total?,2/3
39,Last week Whitney counted the number of juice boxes she had for school lunches. She had ⅗ of a case. This week it’s down to ⅕ of a case. How much of the case did Whitney drink?,2/5
40,At lunchtime an ice cream parlor served 6 ¼ scoops of chocolate ice cream 5 ¾ scoops of vanilla and 2 ¾ scoops of strawberry. How many scoops of ice cream did the parlor serve in total?,61/4
41,For a party Jaime had 5 ⅓ bottles of cola for her friends to drink. She drank ⅓ of a bottle herself. Her friends drank 3 ⅓. How many bottles of cola does Jaime have left?,5
42,Kevin completed ½ of an assignment at school. When he was home that evening he completed ⅚ of another assignment. How many assignments did Kevin complete?,8/6
43,Packing school lunches for her kids Patty used ⅞ of a package of ham. She also used ½ of a package of turkey. How much more ham than turkey did Patty use?,3/8
44,During gym class on Wednesday the students ran for ¼ of a kilometre. On Thursday they ran ½ as many kilometres as on Wednesday. How many kilometres did the students run on Thursday? Write your answer as a fraction.,1/8
45,A clothing manufacturer uses ⅕ of a bottle of colour dye to make one pair of pants. The manufacturer used ⅘ of a bottle yesterday. How many pairs of pants did the manufacturer make?,1/4
46,Mark drank ⅚ of a carton of milk this week. Frank drank 7 times more milk than Mark. How many cartons of milk did Frank drink? Write your answer as a fraction or as a whole or mixed number.,35/6
47,You have 2.6 grams of yogurt in your bowl and you add another spoonful of 1.3 grams. How much yogurt do you have in total?,3.9
48,Gemma had 25.75 grams of frosting to make a cake. She decided to use only 15.5 grams of the frosting. How much frosting does Gemma have left?,10.25
49,Marshall walks a total of 0.9 kilometres to and from school each day. After 4 days how many kilometres will he have walked?,3.6
50,To make the Leaning Tower of Pisa from spaghetti Mrs. Robinson bought 2.5 kilograms of spaghetti. Her students were able to make 10 leaning towers in total. How many kilograms of spaghetti does it take to make 1 leaning tower?,0.25
51,Rocco has 1.5 litres of orange soda and 2.25 litres of grape soda in his fridge. Antonio has 1.15 litres of orange soda and 0.62 litres of grape soda. How much more soda does Rocco have than Angelo?,1.98
52,4 days a week Laura practices martial arts for 1.5 hours. Considering a week is 7 days what is her average practice time per day each week?,0.86
53,Natalie began at 5. She skip-counted by fives. Could she have said the number 20?,yes
54,Each month Jeremy adds the same number of cards to his baseball card collection. In January he had 36. 48 in February. 60 in March. How many baseball cards will Jeremy have in April?,72
55,Micha’s dad wants to try to save money on gas so he has been tracking how much he uses. Over the past two years Micha’s dad used 200 litres of gas. This year he used 100 litres of gas. How much gas did he use last year?,100
56,Mary surveyed students in her school to find out what their favourite sports were. Out of 1200 students 455 said hockey was their favourite sport. What percentage of students said hockey was their favourite sport?,37.91
57,The theatre has 4 chairs in a row. There are 5 rows. Using rows as your unit of measurement what is the perimeter?,18
58,The theatre has 4 chairs in a row. There are 5 rows. How many chairs are there in total?,20
59,Aaron wants to know how much candy his container can hold. The container is 20 centimetres tall 10 centimetres long and 10 centimetres wide. What is the container’s volume?,2000
60,Kevin draws a shape with 4 equal sides. What shape did he draw?,square
